author,comment,publishedAt,likeCount
@Yusi_SRb,Kerenan ini badannya dari pada susu coklat anj lah,2025-11-12T23:10:55Z,0
@Yusi_SRb,Kerenan ini badannya dari pada susu coklat anj lah,2025-11-12T23:10:39Z,0
@CapaPoetr,ga pernah se seneng ini dibilang masalah kita ga remeh :),2025-11-12T23:09:29Z,1
@angrayani6002,Bang kalau motor mogok boleh kah minta bantuan damkar? 😅,2025-11-12T23:09:12Z,0
@amethnary5534,Respect! 🫡,2025-11-12T23:08:42Z,0
@AkademiASDC,ade bhakti kapan di undang kak ?,2025-11-12T23:07:36Z,0
@aissfzaa,NAIKIN GAJI DAMKAR!!!,2025-11-12T23:01:15Z,0
@revianawl2745,gokil,2025-11-12T23:01:02Z,0
@alfiyatussaadah450,"Terharu siii, DAMKAR HEBAT",2025-11-12T22:58:51Z,0
@MEKS.OFC1,Yg di bekali senjata malah... Ah sudah lah,2025-11-12T22:57:15Z,0
@limabelas3706,"6:08 dari pertanyaan tentang ""yang membahayakan keselamatan kalian"" ke ""suami istri ribut"" 😭",2025-11-12T22:57:09Z,50
@arifsholehrhomadhon8399,"Diutamakan hadir terlebih dahulu, kelazz ❤",2025-11-12T22:56:45Z,1
@ifaoktaaa,"gue jadi inget the first responders, bener bener seberjasa itu damkar",2025-11-12T22:53:11Z,1
@realabdulhamidsutomi1986,komandannya undang open mic seru sih,2025-11-12T22:51:52Z,0
@farihaamiii2877,"1 solusi untuk semua masalah, Please naikin gaji damkar soalnya real untuk rakyat bukan omong doang",2025-11-12T22:49:58Z,0
@nengyuliyanti4014,Polisi malu gak sih luuu wkwk,2025-11-12T22:48:00Z,1
@pebriyanalvarizki7527,semangat bapa damkarr,2025-11-12T22:45:58Z,0
@puspitamahestiririh9006,gaji damkar harus naik sih kataku.. lebih mengayomi rakyat soalnya 😂 lancar slalu rezekinya bapak2 damkar 🤲🏻,2025-11-12T22:44:42Z,0
@novaljapan2968,Terus ayomi masyaratkat bawah sperti kami.kami udah gak tau lagi mana tempat buat mengadu keresahan.makasih untu smua petugas damkar di seluruh indonesia.🤍🤍🤍,2025-11-12T22:44:37Z,0
@NihayatulWafiroh-fd1xc,Pliss lahh harusnya damkar di gajih lebih besar gajih nya dari polisi,2025-11-12T22:44:32Z,0
@obbymaster-c2c,"Gak nyangka kontennya seenak ini ditonton, sambil spin di ✌𝐏𝐒𝐓𝐎𝐓𝐎𝟗𝟗✌ makin berasa santainya 😎🎥🎰",2025-11-12T22:41:00Z,0
@ALONE_777_I,"Apapun topiknya, pembawaannya asik! Pas banget buat nemenin main ♛𝗣𝗦𝗧𝗢𝗧𝗢𝟵𝟵♛ santai 😎🎰",2025-11-12T22:41:00Z,0
@factsbyanish-e8x,Tipe konten yang bikin “eh bentar lagi nonton” tapi keterusan 😅 sama kayak di ⚡𝙋𝙎𝙏𝙊𝙏𝙊𝟵𝟵⚡ pas udah dapet pola cuan!,2025-11-12T22:41:00Z,0
@ranggakusuma208,instansi halo dek harus liat ini sii biar sadar,2025-11-12T22:40:39Z,0
@Bisheswar.99,"Ini konten ringan tapi nagih! Kayak 𝙋𝙎𝙏𝙊𝙏𝙊𝟵𝟵, sekali buka langsung susah berhenti 😆🔥",2025-11-12T22:40:28Z,0
@FF.M.0.2,"Kontennya keren banget! Santai tapi tetap dapet insight, kayak main 𝐏𝐒𝐓𝐎𝐓𝐎𝟗𝟗: enjoy tapi bisa cuan 😎",2025-11-12T22:40:19Z,0
@Heagency,"Gaya penyampaiannya enak banget, gak ngebosenin. Sambil nonton ini, spin dikit di ✌𝐏𝐒𝐓𝐎𝐓𝐎𝟗𝟗✌ biar makin lengkap 🤭",2025-11-12T22:40:18Z,0
@Lalisyeating,"Gaya penyampaiannya enak banget, gak ngebosenin. Sambil nonton ini, spin dikit di ✌𝐏𝐒𝐓𝐎𝐓𝐎𝟗𝟗✌ biar makin lengkap 🤭",2025-11-12T22:40:18Z,0
@kovvasuraju6014,Kualitas kontennya makin naik! Kayak akun 🎯𝗣𝗦𝗧𝗢𝗧𝗢𝟵𝟵🎯 yang tiba-tiba hoki terus 😆🔥,2025-11-12T22:40:18Z,0
